"","t_1","t_2","t_3","t_4","t_5","t_6","t_7","t_8","t_9","t_10","t_11","t_12","t_13","t_14","t_15","t_16","t_17","t_18","t_19","t_20","t_21","t_22","t_23","t_24","t_25","t_26","t_27","t_28","t_29","t_30","t_31","t_32","t_33","t_34","t_35","t_36","t_37","t_38"
"47",0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.409175408747408,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.144654217249199,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942
"146",0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.314909963609582,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708,0.0185159469294708
"164",0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.296524035813623,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.225710840221087,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803
"402",0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.507851625243111,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0736532106171194,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492,0.0116248656705492
"187",0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842
"12",0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.50896362259123,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803,0.0132712534434803
"268",0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.31912209085095,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.166702372325798,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459
"386",0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.069351454664635,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.419784728362377,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.0109459090483447,0.127757000280925
"388",0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.166702372325798,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.090492513063222,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.242912231588374,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459,0.0142826538006459
"278",0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.541436004496513,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942,0.0123936215000942
